Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,211.6268,-43.7492,90,top
C1,100n,C_0402_1005Metric,191.3068,-43.7492,90,top
C1,100n,C_0402_1005Metric,170.9868,-43.7492,90,top
C2,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,214.763,-48.561,-90,top
C2,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,194.443,-48.561,-90,top
C2,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,174.123,-48.561,-90,top
C3,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,176.0788,-48.561,-90,top
C3,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,216.7188,-48.561,-90,top
C3,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,196.3988,-48.561,-90,top
C4,100n,C_0402_1005Metric,220.0168,-40.9792,135,top
C4,100n,C_0402_1005Metric,199.6968,-40.9792,135,top
C4,100n,C_0402_1005Metric,179.3768,-40.9792,135,top
C5,100n,C_0402_1005Metric,179.5868,-39.4192,0,top
C5,100n,C_0402_1005Metric,220.2268,-39.4192,0,top
C5,100n,C_0402_1005Metric,199.9068,-39.4192,0,top
H2,Conn_01x08,TE_0-1734839-8_1x08-1MP_P0.5mm_Horizontal,222.9978,-42.9984,90,top
H2,Conn_01x08,TE_0-1734839-8_1x08-1MP_P0.5mm_Horizontal,182.3578,-42.9984,90,top
H2,Conn_01x08,TE_0-1734839-8_1x08-1MP_P0.5mm_Horizontal,202.6778,-42.9984,90,top
JSL1,Conn_01x05,PinHeader_1x05_P2.00mm_Vertical,187.57,-36.9425,90,top
JSL1,Conn_01x05,PinHeader_1x05_P2.00mm_Vertical,207.89,-36.9425,90,top
JSL1,Conn_01x05,PinHeader_1x05_P2.00mm_Vertical,167.25,-36.9425,90,top
Q1,NMOS,SOT-23,180.6043,-37.1692,180,top
Q1,NMOS,SOT-23,200.9243,-37.1692,180,top
Q1,NMOS,SOT-23,221.2443,-37.1692,180,top
R1,100,R_0402_1005Metric,190.9108,-39.4292,90,top
R1,100,R_0402_1005Metric,170.5908,-39.4292,90,top
R1,100,R_0402_1005Metric,211.2308,-39.4292,90,top
R2,100,R_0402_1005Metric,212.196,-39.4292,90,top
R2,100,R_0402_1005Metric,171.556,-39.4292,90,top
R2,100,R_0402_1005Metric,191.876,-39.4292,90,top
R3,100,R_0402_1005Metric,214.1264,-39.4292,90,top
R3,100,R_0402_1005Metric,173.4864,-39.4292,90,top
R3,100,R_0402_1005Metric,193.8064,-39.4292,90,top
R4,100,R_0402_1005Metric,215.0916,-39.4292,90,top
R4,100,R_0402_1005Metric,194.7716,-39.4292,90,top
R4,100,R_0402_1005Metric,174.4516,-39.4292,90,top
R5,100,R_0402_1005Metric,172.5212,-39.4292,90,top
R5,100,R_0402_1005Metric,213.1612,-39.4292,90,top
R5,100,R_0402_1005Metric,192.8412,-39.4292,90,top
R6,100,R_0402_1005Metric,175.4168,-39.4292,90,top
R6,100,R_0402_1005Metric,216.0568,-39.4292,90,top
R6,100,R_0402_1005Metric,195.7368,-39.4292,90,top
R7,100,R_0402_1005Metric,223.9168,-37.0792,90,top
R7,100,R_0402_1005Metric,203.5968,-37.0792,90,top
R7,100,R_0402_1005Metric,183.2768,-37.0792,90,top
S2,Conn_01x03,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,209.7592,-48.9166,180,top
S2,Conn_01x03,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,169.1192,-48.9166,180,top
S2,Conn_01x03,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,189.4392,-48.9166,180,top
U1,STM32G031G8Ux,QFN-28_4x4mm_P0.5mm,217.5853,-43.0746,-135,top
U1,STM32G031G8Ux,QFN-28_4x4mm_P0.5mm,197.2653,-43.0746,-135,top
U1,STM32G031G8Ux,QFN-28_4x4mm_P0.5mm,176.9453,-43.0746,-135,top
U2,AMS1117-3.3,SOT-89-3,167.9468,-41.8492,90,top
U2,AMS1117-3.3,SOT-89-3,208.5868,-41.8492,90,top
U2,AMS1117-3.3,SOT-89-3,188.2668,-41.8492,90,top
